lid,lname,lnum,credit,semester,pid
200143,공개데이터활용0143,JNU0143,3,2026-1,8
200144,SQL최적화0144,JNU0144,1,2026-1,1
200145,전남대공개학과데이터분석0145,JNU0145,2,2026-1,2
200146,학사정보시스템0146,JNU0146,3,2026-1,3
200147,수강신청데이터베이스0147,JNU0147,1,2026-1,4
200148,성적관리실습0148,JNU0148,2,2026-1,5
200149,교육데이터마이닝0149,JNU0149,3,2026-1,6
200150,대학행정정보처리0150,JNU0150,1,2026-1,7
200151,공개데이터활용0151,JNU0151,2,2026-1,8
200152,SQL최적화0152,JNU0152,3,2026-1,1
200153,전남대공개학과데이터분석0153,JNU0153,1,2026-1,2
200154,학사정보시스템0154,JNU0154,2,2026-1,3
200155,수강신청데이터베이스0155,JNU0155,3,2026-1,4
200156,성적관리실습0156,JNU0156,1,2026-1,5
200157,교육데이터마이닝0157,JNU0157,2,2026-1,6
200158,대학행정정보처리0158,JNU0158,3,2026-1,7
200159,공개데이터활용0159,JNU0159,1,2026-1,8
200160,SQL최적화0160,JNU0160,2,2026-1,1
200161,전남대공개학과데이터분석0161,JNU0161,3,2026-1,2
200162,학사정보시스템0162,JNU0162,1,2026-1,3
200163,수강신청데이터베이스0163,JNU0163,2,2026-1,4
200164,성적관리실습0164,JNU0164,3,2026-1,5
200165,교육데이터마이닝0165,JNU0165,1,2026-1,6
200166,대학행정정보처리0166,JNU0166,2,2026-1,7
200167,공개데이터활용0167,JNU0167,3,2026-1,8
200168,SQL최적화0168,JNU0168,1,2026-1,1
200169,전남대공개학과데이터분석0169,JNU0169,2,2026-1,2
200170,학사정보시스템0170,JNU0170,3,2026-1,3
200171,수강신청데이터베이스0171,JNU0171,1,2026-1,4
200172,성적관리실습0172,JNU0172,2,2026-1,5
200173,교육데이터마이닝0173,JNU0173,3,2026-1,6
200174,대학행정정보처리0174,JNU0174,1,2026-1,7
200175,공개데이터활용0175,JNU0175,2,2026-1,8
200176,SQL최적화0176,JNU0176,3,2026-1,1
200177,전남대공개학과데이터분석0177,JNU0177,1,2026-1,2
200178,학사정보시스템0178,JNU0178,2,2026-1,3
200179,수강신청데이터베이스0179,JNU0179,3,2026-1,4
200180,성적관리실습0180,JNU0180,1,2026-1,5
200181,교육데이터마이닝0181,JNU0181,2,2026-1,6
200182,대학행정정보처리0182,JNU0182,3,2026-1,7
200183,공개데이터활용0183,JNU0183,1,2026-1,8
200184,SQL최적화0184,JNU0184,2,2026-1,1
200185,전남대공개학과데이터분석0185,JNU0185,3,2026-1,2
200186,학사정보시스템0186,JNU0186,1,2026-1,3
200187,수강신청데이터베이스0187,JNU0187,2,2026-1,4
200188,성적관리실습0188,JNU0188,3,2026-1,5
200189,교육데이터마이닝0189,JNU0189,1,2026-1,6
200190,대학행정정보처리0190,JNU0190,2,2026-1,7
200191,공개데이터활용0191,JNU0191,3,2026-1,8
200192,SQL최적화0192,JNU0192,1,2026-1,1
200193,전남대공개학과데이터분석0193,JNU0193,2,2026-1,2
200194,학사정보시스템0194,JNU0194,3,2026-1,3
200195,수강신청데이터베이스0195,JNU0195,1,2026-1,4
200196,성적관리실습0196,JNU0196,2,2026-1,5
200197,교육데이터마이닝0197,JNU0197,3,2026-1,6
200198,대학행정정보처리0198,JNU0198,1,2026-1,7
200199,공개데이터활용0199,JNU0199,2,2026-1,8
200200,SQL최적화0200,JNU0200,3,2026-1,1
200201,전남대공개학과데이터분석0201,JNU0201,1,2026-1,2
200202,학사정보시스템0202,JNU0202,2,2026-1,3
200203,수강신청데이터베이스0203,JNU0203,3,2026-1,4
200204,성적관리실습0204,JNU0204,1,2026-1,5
200205,교육데이터마이닝0205,JNU0205,2,2026-1,6
200206,대학행정정보처리0206,JNU0206,3,2026-1,7
200207,공개데이터활용0207,JNU0207,1,2026-1,8
200208,SQL최적화0208,JNU0208,2,2026-1,1
200209,전남대공개학과데이터분석0209,JNU0209,3,2026-1,2
200210,학사정보시스템0210,JNU0210,1,2026-1,3
200211,수강신청데이터베이스0211,JNU0211,2,2026-1,4
200212,성적관리실습0212,JNU0212,3,2026-1,5
200213,교육데이터마이닝0213,JNU0213,1,2026-1,6
200214,대학행정정보처리0214,JNU0214,2,2026-1,7
200215,공개데이터활용0215,JNU0215,3,2026-1,8
200216,SQL최적화0216,JNU0216,1,2026-1,1
200217,전남대공개학과데이터분석0217,JNU0217,2,2026-1,2
200218,학사정보시스템0218,JNU0218,3,2026-1,3
200219,수강신청데이터베이스0219,JNU0219,1,2026-1,4
200220,성적관리실습0220,JNU0220,2,2026-1,5
200221,교육데이터마이닝0221,JNU0221,3,2026-1,6
200222,대학행정정보처리0222,JNU0222,1,2026-1,7
200223,공개데이터활용0223,JNU0223,2,2026-1,8
200224,SQL최적화0224,JNU0224,3,2026-1,1
200225,전남대공개학과데이터분석0225,JNU0225,1,2026-1,2
200226,학사정보시스템0226,JNU0226,2,2026-1,3
200227,수강신청데이터베이스0227,JNU0227,3,2026-1,4
200228,성적관리실습0228,JNU0228,1,2026-1,5
200229,교육데이터마이닝0229,JNU0229,2,2026-1,6
200230,대학행정정보처리0230,JNU0230,3,2026-1,7
200231,공개데이터활용0231,JNU0231,1,2026-1,8
200232,SQL최적화0232,JNU0232,2,2026-1,1
200233,전남대공개학과데이터분석0233,JNU0233,3,2026-1,2
200234,학사정보시스템0234,JNU0234,1,2026-1,3
200235,수강신청데이터베이스0235,JNU0235,2,2026-1,4
200236,성적관리실습0236,JNU0236,3,2026-1,5
200237,교육데이터마이닝0237,JNU0237,1,2026-1,6
200238,대학행정정보처리0238,JNU0238,2,2026-1,7
200239,공개데이터활용0239,JNU0239,3,2026-1,8
200240,SQL최적화0240,JNU0240,1,2026-1,1
200241,전남대공개학과데이터분석0241,JNU0241,2,2026-1,2
200242,학사정보시스템0242,JNU0242,3,2026-1,3
200243,수강신청데이터베이스0243,JNU0243,1,2026-1,4
200244,성적관리실습0244,JNU0244,2,2026-1,5
200245,교육데이터마이닝0245,JNU0245,3,2026-1,6
200246,대학행정정보처리0246,JNU0246,1,2026-1,7
200247,공개데이터활용0247,JNU0247,2,2026-1,8
200248,SQL최적화0248,JNU0248,3,2026-1,1
200249,전남대공개학과데이터분석0249,JNU0249,1,2026-1,2
200250,학사정보시스템0250,JNU0250,2,2026-1,3
200251,수강신청데이터베이스0251,JNU0251,3,2026-1,4
200252,성적관리실습0252,JNU0252,1,2026-1,5
200253,교육데이터마이닝0253,JNU0253,2,2026-1,6
200254,대학행정정보처리0254,JNU0254,3,2026-1,7
200255,공개데이터활용0255,JNU0255,1,2026-1,8
200256,SQL최적화0256,JNU0256,2,2026-1,1
200257,전남대공개학과데이터분석0257,JNU0257,3,2026-1,2
200258,학사정보시스템0258,JNU0258,1,2026-1,3
200259,수강신청데이터베이스0259,JNU0259,2,2026-1,4
200260,성적관리실습0260,JNU0260,3,2026-1,5
200261,교육데이터마이닝0261,JNU0261,1,2026-1,6
200262,대학행정정보처리0262,JNU0262,2,2026-1,7
200263,공개데이터활용0263,JNU0263,3,2026-1,8
200264,SQL최적화0264,JNU0264,1,2026-1,1
200265,전남대공개학과데이터분석0265,JNU0265,2,2026-1,2
200266,학사정보시스템0266,JNU0266,3,2026-1,3
200267,수강신청데이터베이스0267,JNU0267,1,2026-1,4
200268,성적관리실습0268,JNU0268,2,2026-1,5
200269,교육데이터마이닝0269,JNU0269,3,2026-1,6
200270,대학행정정보처리0270,JNU0270,1,2026-1,7
200271,공개데이터활용0271,JNU0271,2,2026-1,8
200272,SQL최적화0272,JNU0272,3,2026-1,1
200273,전남대공개학과데이터분석0273,JNU0273,1,2026-1,2
200274,학사정보시스템0274,JNU0274,2,2026-1,3
200275,수강신청데이터베이스0275,JNU0275,3,2026-1,4
200276,성적관리실습0276,JNU0276,1,2026-1,5
200277,교육데이터마이닝0277,JNU0277,2,2026-1,6
200278,대학행정정보처리0278,JNU0278,3,2026-1,7
200279,공개데이터활용0279,JNU0279,1,2026-1,8
200280,SQL최적화0280,JNU0280,2,2026-1,1
200281,전남대공개학과데이터분석0281,JNU0281,3,2026-1,2
200282,학사정보시스템0282,JNU0282,1,2026-1,3
200283,수강신청데이터베이스0283,JNU0283,2,2026-1,4
200284,성적관리실습0284,JNU0284,3,2026-1,5
200285,교육데이터마이닝0285,JNU0285,1,2026-1,6
200286,대학행정정보처리0286,JNU0286,2,2026-1,7
200287,공개데이터활용0287,JNU0287,3,2026-1,8
200288,SQL최적화0288,JNU0288,1,2026-1,1
200289,전남대공개학과데이터분석0289,JNU0289,2,2026-1,2
200290,학사정보시스템0290,JNU0290,3,2026-1,3
200291,수강신청데이터베이스0291,JNU0291,1,2026-1,4
200292,성적관리실습0292,JNU0292,2,2026-1,5
200293,교육데이터마이닝0293,JNU0293,3,2026-1,6
200294,대학행정정보처리0294,JNU0294,1,2026-1,7
200295,공개데이터활용0295,JNU0295,2,2026-1,8
200296,SQL최적화0296,JNU0296,3,2026-1,1
200297,전남대공개학과데이터분석0297,JNU0297,1,2026-1,2
200298,학사정보시스템0298,JNU0298,2,2026-1,3
200299,수강신청데이터베이스0299,JNU0299,3,2026-1,4
200300,성적관리실습0300,JNU0300,1,2026-1,5
200301,교육데이터마이닝0301,JNU0301,2,2026-1,6
200302,대학행정정보처리0302,JNU0302,3,2026-1,7
200303,공개데이터활용0303,JNU0303,1,2026-1,8
200304,SQL최적화0304,JNU0304,2,2026-1,1
200305,전남대공개학과데이터분석0305,JNU0305,3,2026-1,2
200306,학사정보시스템0306,JNU0306,1,2026-1,3
200307,수강신청데이터베이스0307,JNU0307,2,2026-1,4
200308,성적관리실습0308,JNU0308,3,2026-1,5
200309,교육데이터마이닝0309,JNU0309,1,2026-1,6
200310,대학행정정보처리0310,JNU0310,2,2026-1,7
200311,공개데이터활용0311,JNU0311,3,2026-1,8
200312,SQL최적화0312,JNU0312,1,2026-1,1
200313,전남대공개학과데이터분석0313,JNU0313,2,2026-1,2
200314,학사정보시스템0314,JNU0314,3,2026-1,3
200315,수강신청데이터베이스0315,JNU0315,1,2026-1,4
200316,성적관리실습0316,JNU0316,2,2026-1,5
200317,교육데이터마이닝0317,JNU0317,3,2026-1,6
200318,대학행정정보처리0318,JNU0318,1,2026-1,7
200319,공개데이터활용0319,JNU0319,2,2026-1,8
200320,SQL최적화0320,JNU0320,3,2026-1,1
200321,전남대공개학과데이터분석0321,JNU0321,1,2026-1,2
200322,학사정보시스템0322,JNU0322,2,2026-1,3
200323,수강신청데이터베이스0323,JNU0323,3,2026-1,4
200324,성적관리실습0324,JNU0324,1,2026-1,5
200325,교육데이터마이닝0325,JNU0325,2,2026-1,6
200326,대학행정정보처리0326,JNU0326,3,2026-1,7
200327,공개데이터활용0327,JNU0327,1,2026-1,8
200328,SQL최적화0328,JNU0328,2,2026-1,1
200329,전남대공개학과데이터분석0329,JNU0329,3,2026-1,2
200330,학사정보시스템0330,JNU0330,1,2026-1,3
200331,수강신청데이터베이스0331,JNU0331,2,2026-1,4
200332,성적관리실습0332,JNU0332,3,2026-1,5
200333,교육데이터마이닝0333,JNU0333,1,2026-1,6
200334,대학행정정보처리0334,JNU0334,2,2026-1,7
200335,공개데이터활용0335,JNU0335,3,2026-1,8
200336,SQL최적화0336,JNU0336,1,2026-1,1
200337,전남대공개학과데이터분석0337,JNU0337,2,2026-1,2
200338,학사정보시스템0338,JNU0338,3,2026-1,3
200339,수강신청데이터베이스0339,JNU0339,1,2026-1,4
200340,성적관리실습0340,JNU0340,2,2026-1,5
200341,교육데이터마이닝0341,JNU0341,3,2026-1,6
200342,대학행정정보처리0342,JNU0342,1,2026-1,7
200343,공개데이터활용0343,JNU0343,2,2026-1,8
200344,SQL최적화0344,JNU0344,3,2026-1,1
200345,전남대공개학과데이터분석0345,JNU0345,1,2026-1,2
200346,학사정보시스템0346,JNU0346,2,2026-1,3
200347,수강신청데이터베이스0347,JNU0347,3,2026-1,4
200348,성적관리실습0348,JNU0348,1,2026-1,5
200349,교육데이터마이닝0349,JNU0349,2,2026-1,6
200350,대학행정정보처리0350,JNU0350,3,2026-1,7
200351,공개데이터활용0351,JNU0351,1,2026-1,8
200352,SQL최적화0352,JNU0352,2,2026-1,1
200353,전남대공개학과데이터분석0353,JNU0353,3,2026-1,2
200354,학사정보시스템0354,JNU0354,1,2026-1,3
200355,수강신청데이터베이스0355,JNU0355,2,2026-1,4
200356,성적관리실습0356,JNU0356,3,2026-1,5
200357,교육데이터마이닝0357,JNU0357,1,2026-1,6
200358,대학행정정보처리0358,JNU0358,2,2026-1,7
200359,공개데이터활용0359,JNU0359,3,2026-1,8
200360,SQL최적화0360,JNU0360,1,2026-1,1
200361,전남대공개학과데이터분석0361,JNU0361,2,2026-1,2
200362,학사정보시스템0362,JNU0362,3,2026-1,3
200363,수강신청데이터베이스0363,JNU0363,1,2026-1,4
200364,성적관리실습0364,JNU0364,2,2026-1,5
200365,교육데이터마이닝0365,JNU0365,3,2026-1,6
200366,대학행정정보처리0366,JNU0366,1,2026-1,7
200367,공개데이터활용0367,JNU0367,2,2026-1,8
200368,SQL최적화0368,JNU0368,3,2026-1,1
200369,전남대공개학과데이터분석0369,JNU0369,1,2026-1,2
200370,학사정보시스템0370,JNU0370,2,2026-1,3
200371,수강신청데이터베이스0371,JNU0371,3,2026-1,4
200372,성적관리실습0372,JNU0372,1,2026-1,5
200373,교육데이터마이닝0373,JNU0373,2,2026-1,6
200374,대학행정정보처리0374,JNU0374,3,2026-1,7
200375,공개데이터활용0375,JNU0375,1,2026-1,8
200376,SQL최적화0376,JNU0376,2,2026-1,1
200377,전남대공개학과데이터분석0377,JNU0377,3,2026-1,2
200378,학사정보시스템0378,JNU0378,1,2026-1,3
200379,수강신청데이터베이스0379,JNU0379,2,2026-1,4
200380,성적관리실습0380,JNU0380,3,2026-1,5
200381,교육데이터마이닝0381,JNU0381,1,2026-1,6
200382,대학행정정보처리0382,JNU0382,2,2026-1,7
200383,공개데이터활용0383,JNU0383,3,2026-1,8
200384,SQL최적화0384,JNU0384,1,2026-1,1
200385,전남대공개학과데이터분석0385,JNU0385,2,2026-1,2
200386,학사정보시스템0386,JNU0386,3,2026-1,3
200387,수강신청데이터베이스0387,JNU0387,1,2026-1,4
200388,성적관리실습0388,JNU0388,2,2026-1,5
200389,교육데이터마이닝0389,JNU0389,3,2026-1,6
200390,대학행정정보처리0390,JNU0390,1,2026-1,7
200391,공개데이터활용0391,JNU0391,2,2026-1,8
200392,SQL최적화0392,JNU0392,3,2026-1,1
200393,전남대공개학과데이터분석0393,JNU0393,1,2026-1,2
200394,학사정보시스템0394,JNU0394,2,2026-1,3
200395,수강신청데이터베이스0395,JNU0395,3,2026-1,4
200396,성적관리실습0396,JNU0396,1,2026-1,5
200397,교육데이터마이닝0397,JNU0397,2,2026-1,6
200398,대학행정정보처리0398,JNU0398,3,2026-1,7
200399,공개데이터활용0399,JNU0399,1,2026-1,8
200400,SQL최적화0400,JNU0400,2,2026-1,1
200401,전남대공개학과데이터분석0401,JNU0401,3,2026-1,2
200402,학사정보시스템0402,JNU0402,1,2026-1,3
200403,수강신청데이터베이스0403,JNU0403,2,2026-1,4
200404,성적관리실습0404,JNU0404,3,2026-1,5
200405,교육데이터마이닝0405,JNU0405,1,2026-1,6
200406,대학행정정보처리0406,JNU0406,2,2026-1,7
200407,공개데이터활용0407,JNU0407,3,2026-1,8
200408,SQL최적화0408,JNU0408,1,2026-1,1
200409,전남대공개학과데이터분석0409,JNU0409,2,2026-1,2
200410,학사정보시스템0410,JNU0410,3,2026-1,3
200411,수강신청데이터베이스0411,JNU0411,1,2026-1,4
200412,성적관리실습0412,JNU0412,2,2026-1,5
200413,교육데이터마이닝0413,JNU0413,3,2026-1,6
200414,대학행정정보처리0414,JNU0414,1,2026-1,7
200415,공개데이터활용0415,JNU0415,2,2026-1,8
200416,SQL최적화0416,JNU0416,3,2026-1,1
200417,전남대공개학과데이터분석0417,JNU0417,1,2026-1,2
200418,학사정보시스템0418,JNU0418,2,2026-1,3
200419,수강신청데이터베이스0419,JNU0419,3,2026-1,4
200420,성적관리실습0420,JNU0420,1,2026-1,5
200421,교육데이터마이닝0421,JNU0421,2,2026-1,6
200422,대학행정정보처리0422,JNU0422,3,2026-1,7
200423,공개데이터활용0423,JNU0423,1,2026-1,8
200424,SQL최적화0424,JNU0424,2,2026-1,1
200425,전남대공개학과데이터분석0425,JNU0425,3,2026-1,2
200426,학사정보시스템0426,JNU0426,1,2026-1,3
200427,수강신청데이터베이스0427,JNU0427,2,2026-1,4
200428,성적관리실습0428,JNU0428,3,2026-1,5
200429,교육데이터마이닝0429,JNU0429,1,2026-1,6
200430,대학행정정보처리0430,JNU0430,2,2026-1,7
200431,공개데이터활용0431,JNU0431,3,2026-1,8
200432,SQL최적화0432,JNU0432,1,2026-1,1
200433,전남대공개학과데이터분석0433,JNU0433,2,2026-1,2
200434,학사정보시스템0434,JNU0434,3,2026-1,3
200435,수강신청데이터베이스0435,JNU0435,1,2026-1,4
200436,성적관리실습0436,JNU0436,2,2026-1,5
200437,교육데이터마이닝0437,JNU0437,3,2026-1,6
200438,대학행정정보처리0438,JNU0438,1,2026-1,7
200439,공개데이터활용0439,JNU0439,2,2026-1,8
200440,SQL최적화0440,JNU0440,3,2026-1,1
200441,전남대공개학과데이터분석0441,JNU0441,1,2026-1,2
200442,학사정보시스템0442,JNU0442,2,2026-1,3
200443,수강신청데이터베이스0443,JNU0443,3,2026-1,4
200444,성적관리실습0444,JNU0444,1,2026-1,5
200445,교육데이터마이닝0445,JNU0445,2,2026-1,6
200446,대학행정정보처리0446,JNU0446,3,2026-1,7
200447,공개데이터활용0447,JNU0447,1,2026-1,8
200448,SQL최적화0448,JNU0448,2,2026-1,1
200449,전남대공개학과데이터분석0449,JNU0449,3,2026-1,2
200450,학사정보시스템0450,JNU0450,1,2026-1,3
200451,수강신청데이터베이스0451,JNU0451,2,2026-1,4
200452,성적관리실습0452,JNU0452,3,2026-1,5
200453,교육데이터마이닝0453,JNU0453,1,2026-1,6
200454,대학행정정보처리0454,JNU0454,2,2026-1,7
200455,공개데이터활용0455,JNU0455,3,2026-1,8
200456,SQL최적화0456,JNU0456,1,2026-1,1
200457,전남대공개학과데이터분석0457,JNU0457,2,2026-1,2
200458,학사정보시스템0458,JNU0458,3,2026-1,3
200459,수강신청데이터베이스0459,JNU0459,1,2026-1,4
200460,성적관리실습0460,JNU0460,2,2026-1,5
200461,교육데이터마이닝0461,JNU0461,3,2026-1,6
200462,대학행정정보처리0462,JNU0462,1,2026-1,7
200463,공개데이터활용0463,JNU0463,2,2026-1,8
200464,SQL최적화0464,JNU0464,3,2026-1,1
200465,전남대공개학과데이터분석0465,JNU0465,1,2026-1,2
200466,학사정보시스템0466,JNU0466,2,2026-1,3
200467,수강신청데이터베이스0467,JNU0467,3,2026-1,4
200468,성적관리실습0468,JNU0468,1,2026-1,5
200469,교육데이터마이닝0469,JNU0469,2,2026-1,6
200470,대학행정정보처리0470,JNU0470,3,2026-1,7
200471,공개데이터활용0471,JNU0471,1,2026-1,8
200472,SQL최적화0472,JNU0472,2,2026-1,1
200473,전남대공개학과데이터분석0473,JNU0473,3,2026-1,2
200474,학사정보시스템0474,JNU0474,1,2026-1,3
200475,수강신청데이터베이스0475,JNU0475,2,2026-1,4
200476,성적관리실습0476,JNU0476,3,2026-1,5
200477,교육데이터마이닝0477,JNU0477,1,2026-1,6
200478,대학행정정보처리0478,JNU0478,2,2026-1,7
200479,공개데이터활용0479,JNU0479,3,2026-1,8
