enrollid,stuid,lid,enroll_date,status,semester,enroll_type
300051,100051,200001,2026-03-02,완료,2026-1,정규
300052,100052,200001,2026-03-02,완료,2026-1,정규
300053,100053,200001,2026-03-02,완료,2026-1,정규
300054,100054,200001,2026-03-02,완료,2026-1,정규
300055,100055,200001,2026-03-02,완료,2026-1,정규
300056,100056,200001,2026-03-02,완료,2026-1,정규
300057,100057,200001,2026-03-02,완료,2026-1,정규
300058,100058,200001,2026-03-02,완료,2026-1,정규
300059,100059,200001,2026-03-02,완료,2026-1,정규
300060,100060,200001,2026-03-02,완료,2026-1,정규
300061,100061,200001,2026-03-02,완료,2026-1,정규
300062,100062,200001,2026-03-02,완료,2026-1,정규
300063,100063,200001,2026-03-02,완료,2026-1,정규
300064,100064,200001,2026-03-02,완료,2026-1,정규
300065,100065,200001,2026-03-02,완료,2026-1,정규
300066,100066,200001,2026-03-02,완료,2026-1,정규
300067,100067,200001,2026-03-02,완료,2026-1,정규
300068,100068,200001,2026-03-02,완료,2026-1,정규
300069,100069,200001,2026-03-02,완료,2026-1,정규
300070,100070,200001,2026-03-02,완료,2026-1,정규
300071,100071,200001,2026-03-02,완료,2026-1,정규
300072,100072,200001,2026-03-02,완료,2026-1,정규
300073,100073,200001,2026-03-02,완료,2026-1,정규
300074,100074,200001,2026-03-02,완료,2026-1,정규
300075,100075,200001,2026-03-02,완료,2026-1,정규
300076,100076,200001,2026-03-02,완료,2026-1,정규
300077,100077,200001,2026-03-02,완료,2026-1,정규
300078,100078,200001,2026-03-02,완료,2026-1,정규
300079,100079,200001,2026-03-02,완료,2026-1,정규
300080,100080,200001,2026-03-02,완료,2026-1,정규
300081,100081,200001,2026-03-02,완료,2026-1,정규
300082,100082,200001,2026-03-02,완료,2026-1,정규
300083,100083,200001,2026-03-02,완료,2026-1,정규
300084,100084,200001,2026-03-02,완료,2026-1,정규
300085,100085,200001,2026-03-02,완료,2026-1,정규
300086,100086,200001,2026-03-02,완료,2026-1,정규
300087,100087,200001,2026-03-02,완료,2026-1,정규
300088,100088,200001,2026-03-02,완료,2026-1,정규
300089,100089,200001,2026-03-02,완료,2026-1,정규
300090,100090,200001,2026-03-02,완료,2026-1,정규
300091,100091,200001,2026-03-02,완료,2026-1,정규
300092,100092,200001,2026-03-02,완료,2026-1,정규
300093,100093,200001,2026-03-02,완료,2026-1,정규
300094,100094,200001,2026-03-02,완료,2026-1,정규
300095,100095,200001,2026-03-02,완료,2026-1,정규
300096,100096,200001,2026-03-02,완료,2026-1,정규
300097,100097,200001,2026-03-02,완료,2026-1,정규
300098,100098,200001,2026-03-02,완료,2026-1,정규
300099,100099,200001,2026-03-02,완료,2026-1,정규
300100,100100,200001,2026-03-02,완료,2026-1,정규
300101,100101,200001,2026-03-02,완료,2026-1,정규
300102,100102,200001,2026-03-02,완료,2026-1,정규
300103,100103,200001,2026-03-02,완료,2026-1,정규
300104,100104,200001,2026-03-02,완료,2026-1,정규
300105,100105,200001,2026-03-02,완료,2026-1,정규
300106,100106,200001,2026-03-02,완료,2026-1,정규
300107,100107,200001,2026-03-02,완료,2026-1,정규
300108,100108,200001,2026-03-02,완료,2026-1,정규
300109,100109,200001,2026-03-02,완료,2026-1,정규
300110,100110,200001,2026-03-02,완료,2026-1,정규
300111,100111,200001,2026-03-02,완료,2026-1,정규
300112,100112,200001,2026-03-02,완료,2026-1,정규
300113,100113,200001,2026-03-02,완료,2026-1,정규
300114,100114,200001,2026-03-02,완료,2026-1,정규
300115,100115,200001,2026-03-02,완료,2026-1,정규
300116,100116,200001,2026-03-02,완료,2026-1,정규
300117,100117,200001,2026-03-02,완료,2026-1,정규
300118,100118,200001,2026-03-02,완료,2026-1,정규
300119,100119,200001,2026-03-02,완료,2026-1,정규
300120,100120,200001,2026-03-02,완료,2026-1,정규
300121,100121,200001,2026-03-02,완료,2026-1,정규
300122,100122,200001,2026-03-02,완료,2026-1,정규
300123,100123,200001,2026-03-02,완료,2026-1,정규
300124,100124,200001,2026-03-02,완료,2026-1,정규
300125,100125,200001,2026-03-02,완료,2026-1,정규
300126,100126,200001,2026-03-02,완료,2026-1,정규
300127,100127,200001,2026-03-02,완료,2026-1,정규
300128,100128,200001,2026-03-02,완료,2026-1,정규
300129,100129,200001,2026-03-02,완료,2026-1,정규
300130,100130,200001,2026-03-02,완료,2026-1,정규
300131,100131,200001,2026-03-02,완료,2026-1,정규
300132,100132,200001,2026-03-02,완료,2026-1,정규
300133,100133,200001,2026-03-02,완료,2026-1,정규
300134,100134,200001,2026-03-02,완료,2026-1,정규
300135,100135,200001,2026-03-02,완료,2026-1,정규
300136,100136,200001,2026-03-02,완료,2026-1,정규
300137,100137,200001,2026-03-02,완료,2026-1,정규
300138,100138,200001,2026-03-02,완료,2026-1,정규
300139,100139,200001,2026-03-02,완료,2026-1,정규
300140,100140,200001,2026-03-02,완료,2026-1,정규
300141,100141,200001,2026-03-02,완료,2026-1,정규
300142,100142,200001,2026-03-02,완료,2026-1,정규
300143,100143,200001,2026-03-02,완료,2026-1,정규
300144,100144,200001,2026-03-02,완료,2026-1,정규
300145,100145,200001,2026-03-02,완료,2026-1,정규
300146,100146,200001,2026-03-02,완료,2026-1,정규
300147,100147,200001,2026-03-02,완료,2026-1,정규
300148,100148,200001,2026-03-02,완료,2026-1,정규
300149,100149,200001,2026-03-02,완료,2026-1,정규
300150,100150,200001,2026-03-02,완료,2026-1,정규
300151,100151,200001,2026-03-02,완료,2026-1,정규
300152,100152,200001,2026-03-02,완료,2026-1,정규
300153,100153,200001,2026-03-02,완료,2026-1,정규
300154,100154,200001,2026-03-02,완료,2026-1,정규
300155,100155,200001,2026-03-02,완료,2026-1,정규
300156,100156,200001,2026-03-02,완료,2026-1,정규
300157,100157,200001,2026-03-02,완료,2026-1,정규
300158,100158,200001,2026-03-02,완료,2026-1,정규
300159,100159,200001,2026-03-02,완료,2026-1,정규
300160,100160,200001,2026-03-02,완료,2026-1,정규
300161,100161,200001,2026-03-02,완료,2026-1,정규
300162,100162,200001,2026-03-02,완료,2026-1,정규
300163,100163,200001,2026-03-02,완료,2026-1,정규
300164,100164,200001,2026-03-02,완료,2026-1,정규
300165,100165,200001,2026-03-02,완료,2026-1,정규
300166,100166,200001,2026-03-02,완료,2026-1,정규
300167,100167,200001,2026-03-02,완료,2026-1,정규
300168,100168,200001,2026-03-02,완료,2026-1,정규
300169,100169,200001,2026-03-02,완료,2026-1,정규
300170,100170,200001,2026-03-02,완료,2026-1,정규
300171,100171,200001,2026-03-02,완료,2026-1,정규
300172,100172,200001,2026-03-02,완료,2026-1,정규
300173,100173,200001,2026-03-02,완료,2026-1,정규
300174,100174,200001,2026-03-02,완료,2026-1,정규
300175,100175,200001,2026-03-02,완료,2026-1,정규
300176,100176,200001,2026-03-02,완료,2026-1,정규
300177,100177,200001,2026-03-02,완료,2026-1,정규
300178,100178,200001,2026-03-02,완료,2026-1,정규
300179,100179,200001,2026-03-02,완료,2026-1,정규
300180,100180,200001,2026-03-02,완료,2026-1,정규
300181,100181,200001,2026-03-02,완료,2026-1,정규
300182,100182,200001,2026-03-02,완료,2026-1,정규
300183,100183,200001,2026-03-02,완료,2026-1,정규
300184,100184,200001,2026-03-02,완료,2026-1,정규
300185,100185,200001,2026-03-02,완료,2026-1,정규
300186,100186,200001,2026-03-02,완료,2026-1,정규
300187,100187,200001,2026-03-02,완료,2026-1,정규
300188,100188,200001,2026-03-02,완료,2026-1,정규
300189,100189,200001,2026-03-02,완료,2026-1,정규
300190,100190,200001,2026-03-02,완료,2026-1,정규
300191,100191,200001,2026-03-02,완료,2026-1,정규
300192,100192,200001,2026-03-02,완료,2026-1,정규
300193,100193,200001,2026-03-02,완료,2026-1,정규
300194,100194,200001,2026-03-02,완료,2026-1,정규
300195,100195,200001,2026-03-02,완료,2026-1,정규
300196,100196,200001,2026-03-02,완료,2026-1,정규
300197,100197,200001,2026-03-02,완료,2026-1,정규
300198,100198,200001,2026-03-02,완료,2026-1,정규
300199,100199,200001,2026-03-02,완료,2026-1,정규
300200,100200,200001,2026-03-02,완료,2026-1,정규
300201,100201,200001,2026-03-02,완료,2026-1,정규
300202,100202,200001,2026-03-02,완료,2026-1,정규
300203,100203,200001,2026-03-02,완료,2026-1,정규
300204,100204,200001,2026-03-02,완료,2026-1,정규
300205,100205,200001,2026-03-02,완료,2026-1,정규
300206,100206,200001,2026-03-02,완료,2026-1,정규
300207,100207,200001,2026-03-02,완료,2026-1,정규
300208,100208,200001,2026-03-02,완료,2026-1,정규
300209,100209,200001,2026-03-02,완료,2026-1,정규
300210,100210,200001,2026-03-02,완료,2026-1,정규
300211,100211,200001,2026-03-02,완료,2026-1,정규
300212,100212,200001,2026-03-02,완료,2026-1,정규
300213,100213,200001,2026-03-02,완료,2026-1,정규
300214,100214,200001,2026-03-02,완료,2026-1,정규
300215,100215,200001,2026-03-02,완료,2026-1,정규
300216,100216,200001,2026-03-02,완료,2026-1,정규
300217,100217,200001,2026-03-02,완료,2026-1,정규
300218,100218,200001,2026-03-02,완료,2026-1,정규
300219,100219,200001,2026-03-02,완료,2026-1,정규
300220,100220,200001,2026-03-02,완료,2026-1,정규
300221,100221,200001,2026-03-02,완료,2026-1,정규
300222,100222,200001,2026-03-02,완료,2026-1,정규
300223,100223,200001,2026-03-02,완료,2026-1,정규
300224,100224,200001,2026-03-02,완료,2026-1,정규
300225,100225,200001,2026-03-02,완료,2026-1,정규
300226,100226,200001,2026-03-02,완료,2026-1,정규
300227,100227,200001,2026-03-02,완료,2026-1,정규
300228,100228,200001,2026-03-02,완료,2026-1,정규
300229,100229,200001,2026-03-02,완료,2026-1,정규
300230,100230,200001,2026-03-02,완료,2026-1,정규
300231,100231,200001,2026-03-02,완료,2026-1,정규
300232,100232,200001,2026-03-02,완료,2026-1,정규
300233,100233,200001,2026-03-02,완료,2026-1,정규
300234,100234,200001,2026-03-02,완료,2026-1,정규
300235,100235,200001,2026-03-02,완료,2026-1,정규
300236,100236,200001,2026-03-02,완료,2026-1,정규
300237,100237,200001,2026-03-02,완료,2026-1,정규
300238,100238,200001,2026-03-02,완료,2026-1,정규
300239,100239,200001,2026-03-02,완료,2026-1,정규
300240,100240,200001,2026-03-02,완료,2026-1,정규
300241,100241,200001,2026-03-02,완료,2026-1,정규
300242,100242,200001,2026-03-02,완료,2026-1,정규
300243,100243,200001,2026-03-02,완료,2026-1,정규
300244,100244,200001,2026-03-02,완료,2026-1,정규
300245,100245,200001,2026-03-02,완료,2026-1,정규
300246,100246,200001,2026-03-02,완료,2026-1,정규
300247,100247,200001,2026-03-02,완료,2026-1,정규
300248,100248,200001,2026-03-02,완료,2026-1,정규
300249,100249,200001,2026-03-02,완료,2026-1,정규
300250,100250,200001,2026-03-02,완료,2026-1,정규
300251,100251,200001,2026-03-02,완료,2026-1,정규
300252,100252,200001,2026-03-02,완료,2026-1,정규
300253,100253,200001,2026-03-02,완료,2026-1,정규
300254,100254,200001,2026-03-02,완료,2026-1,정규
300255,100255,200001,2026-03-02,완료,2026-1,정규
300256,100256,200001,2026-03-02,완료,2026-1,정규
300257,100257,200001,2026-03-02,완료,2026-1,정규
300258,100258,200001,2026-03-02,완료,2026-1,정규
300259,100259,200001,2026-03-02,완료,2026-1,정규
300260,100260,200001,2026-03-02,완료,2026-1,정규
300261,100261,200001,2026-03-02,완료,2026-1,정규
300262,100262,200001,2026-03-02,완료,2026-1,정규
300263,100263,200001,2026-03-02,완료,2026-1,정규
300264,100264,200001,2026-03-02,완료,2026-1,정규
300265,100265,200001,2026-03-02,완료,2026-1,정규
300266,100266,200001,2026-03-02,완료,2026-1,정규
300267,100267,200001,2026-03-02,완료,2026-1,정규
300268,100268,200001,2026-03-02,완료,2026-1,정규
300269,100269,200001,2026-03-02,완료,2026-1,정규
300270,100270,200001,2026-03-02,완료,2026-1,정규
300271,100271,200001,2026-03-02,완료,2026-1,정규
300272,100272,200001,2026-03-02,완료,2026-1,정규
300273,100273,200001,2026-03-02,완료,2026-1,정규
300274,100274,200001,2026-03-02,완료,2026-1,정규
300275,100275,200001,2026-03-02,완료,2026-1,정규
300276,100276,200001,2026-03-02,완료,2026-1,정규
300277,100277,200001,2026-03-02,완료,2026-1,정규
300278,100278,200001,2026-03-02,완료,2026-1,정규
300279,100279,200001,2026-03-02,완료,2026-1,정규
300280,100280,200001,2026-03-02,완료,2026-1,정규
300281,100281,200001,2026-03-02,완료,2026-1,정규
300282,100282,200001,2026-03-02,완료,2026-1,정규
300283,100283,200001,2026-03-02,완료,2026-1,정규
300284,100284,200001,2026-03-02,완료,2026-1,정규
300285,100285,200001,2026-03-02,완료,2026-1,정규
300286,100286,200001,2026-03-02,완료,2026-1,정규
300287,100287,200001,2026-03-02,완료,2026-1,정규
300288,100288,200001,2026-03-02,완료,2026-1,정규
300289,100289,200001,2026-03-02,완료,2026-1,정규
300290,100290,200001,2026-03-02,완료,2026-1,정규
300291,100291,200001,2026-03-02,완료,2026-1,정규
300292,100292,200001,2026-03-02,완료,2026-1,정규
300293,100293,200001,2026-03-02,완료,2026-1,정규
300294,100294,200001,2026-03-02,완료,2026-1,정규
300295,100295,200001,2026-03-02,완료,2026-1,정규
300296,100296,200001,2026-03-02,완료,2026-1,정규
300297,100297,200001,2026-03-02,완료,2026-1,정규
300298,100298,200001,2026-03-02,완료,2026-1,정규
300299,100299,200001,2026-03-02,완료,2026-1,정규
300300,100300,200001,2026-03-02,완료,2026-1,정규
300301,100301,200001,2026-03-02,완료,2026-1,정규
300302,100302,200001,2026-03-02,완료,2026-1,정규
300303,100303,200001,2026-03-02,완료,2026-1,정규
300304,100304,200001,2026-03-02,완료,2026-1,정규
300305,100305,200001,2026-03-02,완료,2026-1,정규
300306,100306,200001,2026-03-02,완료,2026-1,정규
300307,100307,200001,2026-03-02,완료,2026-1,정규
300308,100308,200001,2026-03-02,완료,2026-1,정규
300309,100309,200001,2026-03-02,완료,2026-1,정규
300310,100310,200001,2026-03-02,완료,2026-1,정규
300311,100311,200001,2026-03-02,완료,2026-1,정규
300312,100312,200001,2026-03-02,완료,2026-1,정규
300313,100313,200001,2026-03-02,완료,2026-1,정규
300314,100314,200001,2026-03-02,완료,2026-1,정규
300315,100315,200001,2026-03-02,완료,2026-1,정규
300316,100316,200001,2026-03-02,완료,2026-1,정규
300317,100317,200001,2026-03-02,완료,2026-1,정규
300318,100318,200001,2026-03-02,완료,2026-1,정규
300319,100319,200001,2026-03-02,완료,2026-1,정규
300320,100320,200001,2026-03-02,완료,2026-1,정규
300321,100321,200001,2026-03-02,완료,2026-1,정규
300322,100322,200001,2026-03-02,완료,2026-1,정규
300323,100323,200001,2026-03-02,완료,2026-1,정규
300324,100324,200001,2026-03-02,완료,2026-1,정규
300325,100325,200001,2026-03-02,완료,2026-1,정규
300326,100326,200001,2026-03-02,완료,2026-1,정규
300327,100327,200001,2026-03-02,완료,2026-1,정규
300328,100328,200001,2026-03-02,완료,2026-1,정규
300329,100329,200001,2026-03-02,완료,2026-1,정규
300330,100330,200001,2026-03-02,완료,2026-1,정규
300331,100331,200001,2026-03-02,완료,2026-1,정규
300332,100332,200001,2026-03-02,완료,2026-1,정규
300333,100333,200001,2026-03-02,완료,2026-1,정규
300334,100334,200001,2026-03-02,완료,2026-1,정규
300335,100335,200001,2026-03-02,완료,2026-1,정규
300336,100336,200001,2026-03-02,완료,2026-1,정규
300337,100337,200001,2026-03-02,완료,2026-1,정규
300338,100338,200001,2026-03-02,완료,2026-1,정규
300339,100339,200001,2026-03-02,완료,2026-1,정규
300340,100340,200001,2026-03-02,완료,2026-1,정규
300341,100341,200001,2026-03-02,완료,2026-1,정규
300342,100342,200001,2026-03-02,완료,2026-1,정규
300343,100343,200001,2026-03-02,완료,2026-1,정규
300344,100344,200001,2026-03-02,완료,2026-1,정규
300345,100345,200001,2026-03-02,완료,2026-1,정규
300346,100346,200001,2026-03-02,완료,2026-1,정규
300347,100347,200001,2026-03-02,완료,2026-1,정규
300348,100348,200001,2026-03-02,완료,2026-1,정규
300349,100349,200001,2026-03-02,완료,2026-1,정규
300350,100350,200001,2026-03-02,완료,2026-1,정규
300351,100351,200001,2026-03-02,완료,2026-1,정규
300352,100352,200001,2026-03-02,완료,2026-1,정규
300353,100353,200001,2026-03-02,완료,2026-1,정규
300354,100354,200001,2026-03-02,완료,2026-1,정규
300355,100355,200001,2026-03-02,완료,2026-1,정규
300356,100356,200001,2026-03-02,완료,2026-1,정규
300357,100357,200001,2026-03-02,완료,2026-1,정규
300358,100358,200001,2026-03-02,완료,2026-1,정규
300359,100359,200001,2026-03-02,완료,2026-1,정규
300360,100360,200001,2026-03-02,완료,2026-1,정규
300361,100361,200001,2026-03-02,완료,2026-1,정규
300362,100362,200001,2026-03-02,완료,2026-1,정규
300363,100363,200001,2026-03-02,완료,2026-1,정규
300364,100364,200001,2026-03-02,완료,2026-1,정규
300365,100365,200001,2026-03-02,완료,2026-1,정규
300366,100366,200001,2026-03-02,완료,2026-1,정규
300367,100367,200001,2026-03-02,완료,2026-1,정규
300368,100368,200001,2026-03-02,완료,2026-1,정규
300369,100369,200001,2026-03-02,완료,2026-1,정규
300370,100370,200001,2026-03-02,완료,2026-1,정규
300371,100371,200001,2026-03-02,완료,2026-1,정규
300372,100372,200001,2026-03-02,완료,2026-1,정규
300373,100373,200001,2026-03-02,완료,2026-1,정규
300374,100374,200001,2026-03-02,완료,2026-1,정규
300375,100375,200001,2026-03-02,완료,2026-1,정규
300376,100376,200001,2026-03-02,완료,2026-1,정규
300377,100377,200001,2026-03-02,완료,2026-1,정규
300378,100378,200001,2026-03-02,완료,2026-1,정규
300379,100379,200001,2026-03-02,완료,2026-1,정규
300380,100380,200001,2026-03-02,완료,2026-1,정규
300381,100381,200001,2026-03-02,완료,2026-1,정규
300382,100382,200001,2026-03-02,완료,2026-1,정규
300383,100383,200001,2026-03-02,완료,2026-1,정규
300384,100384,200001,2026-03-02,완료,2026-1,정규
300385,100385,200001,2026-03-02,완료,2026-1,정규
300386,100386,200001,2026-03-02,완료,2026-1,정규
300387,100387,200001,2026-03-02,완료,2026-1,정규
300388,100388,200001,2026-03-02,완료,2026-1,정규
300389,100389,200001,2026-03-02,완료,2026-1,정규
300390,100390,200001,2026-03-02,완료,2026-1,정규
300391,100391,200001,2026-03-02,완료,2026-1,정규
300392,100392,200001,2026-03-02,완료,2026-1,정규
300393,100393,200001,2026-03-02,완료,2026-1,정규
300394,100394,200001,2026-03-02,완료,2026-1,정규
300395,100395,200001,2026-03-02,완료,2026-1,정규
300396,100396,200001,2026-03-02,완료,2026-1,정규
300397,100397,200001,2026-03-02,완료,2026-1,정규
300398,100398,200001,2026-03-02,완료,2026-1,정규
300399,100399,200001,2026-03-02,완료,2026-1,정규
300400,100400,200001,2026-03-02,완료,2026-1,정규
300401,100401,200001,2026-03-02,완료,2026-1,정규
300402,100402,200001,2026-03-02,완료,2026-1,정규
300403,100403,200001,2026-03-02,완료,2026-1,정규
300404,100404,200001,2026-03-02,완료,2026-1,정규
300405,100405,200001,2026-03-02,완료,2026-1,정규
300406,100406,200001,2026-03-02,완료,2026-1,정규
300407,100407,200001,2026-03-02,완료,2026-1,정규
300408,100408,200001,2026-03-02,완료,2026-1,정규
300409,100409,200001,2026-03-02,완료,2026-1,정규
300410,100410,200001,2026-03-02,완료,2026-1,정규
300411,100411,200001,2026-03-02,완료,2026-1,정규
300412,100412,200001,2026-03-02,완료,2026-1,정규
300413,100413,200001,2026-03-02,완료,2026-1,정규
300414,100414,200001,2026-03-02,완료,2026-1,정규
300415,100415,200001,2026-03-02,완료,2026-1,정규
300416,100416,200001,2026-03-02,완료,2026-1,정규
300417,100417,200001,2026-03-02,완료,2026-1,정규
300418,100418,200001,2026-03-02,완료,2026-1,정규
300419,100419,200001,2026-03-02,완료,2026-1,정규
300420,100420,200001,2026-03-02,완료,2026-1,정규
300421,100421,200001,2026-03-02,완료,2026-1,정규
300422,100422,200001,2026-03-02,완료,2026-1,정규
300423,100423,200001,2026-03-02,완료,2026-1,정규
300424,100424,200001,2026-03-02,완료,2026-1,정규
300425,100425,200001,2026-03-02,완료,2026-1,정규
300426,100426,200001,2026-03-02,완료,2026-1,정규
300427,100427,200001,2026-03-02,완료,2026-1,정규
300428,100428,200001,2026-03-02,완료,2026-1,정규
300429,100429,200001,2026-03-02,완료,2026-1,정규
300430,100430,200001,2026-03-02,완료,2026-1,정규
300431,100431,200001,2026-03-02,완료,2026-1,정규
300432,100432,200001,2026-03-02,완료,2026-1,정규
300433,100433,200001,2026-03-02,완료,2026-1,정규
300434,100434,200001,2026-03-02,완료,2026-1,정규
300435,100435,200001,2026-03-02,완료,2026-1,정규
300436,100436,200001,2026-03-02,완료,2026-1,정규
300437,100437,200001,2026-03-02,완료,2026-1,정규
300438,100438,200001,2026-03-02,완료,2026-1,정규
300439,100439,200001,2026-03-02,완료,2026-1,정규
300440,100440,200001,2026-03-02,완료,2026-1,정규
300441,100441,200001,2026-03-02,완료,2026-1,정규
300442,100442,200001,2026-03-02,완료,2026-1,정규
300443,100443,200001,2026-03-02,완료,2026-1,정규
300444,100444,200001,2026-03-02,완료,2026-1,정규
300445,100445,200001,2026-03-02,완료,2026-1,정규
300446,100446,200001,2026-03-02,완료,2026-1,정규
300447,100447,200001,2026-03-02,완료,2026-1,정규
300448,100448,200001,2026-03-02,완료,2026-1,정규
300449,100449,200001,2026-03-02,완료,2026-1,정규
300450,100450,200001,2026-03-02,완료,2026-1,정규
300451,100451,200001,2026-03-02,완료,2026-1,정규
300452,100452,200001,2026-03-02,완료,2026-1,정규
300453,100453,200001,2026-03-02,완료,2026-1,정규
300454,100454,200001,2026-03-02,완료,2026-1,정규
300455,100455,200001,2026-03-02,완료,2026-1,정규
300456,100456,200001,2026-03-02,완료,2026-1,정규
300457,100457,200001,2026-03-02,완료,2026-1,정규
300458,100458,200001,2026-03-02,완료,2026-1,정규
300459,100459,200001,2026-03-02,완료,2026-1,정규
300460,100460,200001,2026-03-02,완료,2026-1,정규
300461,100461,200001,2026-03-02,완료,2026-1,정규
300462,100462,200001,2026-03-02,완료,2026-1,정규
300463,100463,200001,2026-03-02,완료,2026-1,정규
300464,100464,200001,2026-03-02,완료,2026-1,정규
300465,100465,200001,2026-03-02,완료,2026-1,정규
300466,100466,200001,2026-03-02,완료,2026-1,정규
300467,100467,200001,2026-03-02,완료,2026-1,정규
300468,100468,200001,2026-03-02,완료,2026-1,정규
300469,100469,200001,2026-03-02,완료,2026-1,정규
300470,100470,200001,2026-03-02,완료,2026-1,정규
300471,100471,200001,2026-03-02,완료,2026-1,정규
300472,100472,200001,2026-03-02,완료,2026-1,정규
300473,100473,200001,2026-03-02,완료,2026-1,정규
300474,100474,200001,2026-03-02,완료,2026-1,정규
300475,100475,200001,2026-03-02,완료,2026-1,정규
300476,100476,200001,2026-03-02,완료,2026-1,정규
300477,100477,200001,2026-03-02,완료,2026-1,정규
300478,100478,200001,2026-03-02,완료,2026-1,정규
300479,100479,200001,2026-03-02,완료,2026-1,정규
300480,100480,200001,2026-03-02,완료,2026-1,정규
300481,100481,200001,2026-03-02,완료,2026-1,정규
300482,100482,200001,2026-03-02,완료,2026-1,정규
300483,100483,200001,2026-03-02,완료,2026-1,정규
300484,100484,200001,2026-03-02,완료,2026-1,정규
300485,100485,200001,2026-03-02,완료,2026-1,정규
300486,100486,200001,2026-03-02,완료,2026-1,정규
300487,100487,200001,2026-03-02,완료,2026-1,정규
300488,100488,200001,2026-03-02,완료,2026-1,정규
300489,100489,200001,2026-03-02,완료,2026-1,정규
300490,100490,200001,2026-03-02,완료,2026-1,정규
300491,100491,200001,2026-03-02,완료,2026-1,정규
300492,100492,200001,2026-03-02,완료,2026-1,정규
300493,100493,200001,2026-03-02,완료,2026-1,정규
300494,100494,200001,2026-03-02,완료,2026-1,정규
300495,100495,200001,2026-03-02,완료,2026-1,정규
300496,100496,200001,2026-03-02,완료,2026-1,정규
300497,100497,200001,2026-03-02,완료,2026-1,정규
300498,100498,200001,2026-03-02,완료,2026-1,정규
300499,100499,200001,2026-03-02,완료,2026-1,정규
300500,100500,200001,2026-03-02,완료,2026-1,정규
300501,100501,200001,2026-03-02,완료,2026-1,정규
300502,100502,200001,2026-03-02,완료,2026-1,정규
300503,100503,200001,2026-03-02,완료,2026-1,정규
300504,100504,200001,2026-03-02,완료,2026-1,정규
300505,100505,200001,2026-03-02,완료,2026-1,정규
300506,100506,200001,2026-03-02,완료,2026-1,정규
300507,100507,200001,2026-03-02,완료,2026-1,정규
300508,100508,200001,2026-03-02,완료,2026-1,정규
300509,100509,200001,2026-03-02,완료,2026-1,정규
300510,100510,200001,2026-03-02,완료,2026-1,정규
300511,100511,200001,2026-03-02,완료,2026-1,정규
300512,100512,200001,2026-03-02,완료,2026-1,정규
300513,100513,200001,2026-03-02,완료,2026-1,정규
300514,100514,200001,2026-03-02,완료,2026-1,정규
300515,100515,200001,2026-03-02,완료,2026-1,정규
300516,100516,200001,2026-03-02,완료,2026-1,정규
